Estado;2023;2022;2021;2020
Acre;435100112,37;388796901,38;353443809,4;351150723,51
Alagoas;1100611992,37;1006978021,77;968980284,6;974235870,22
Amapá;329332429,49;289544882,11;258267304,9;250438752,27
Amazonas;1007230762,70;908239772,23;847294437,4;849311486,11
Bahia;2658212925,18;2409758006,14;2279928760;2256478363,46
Ceará;1974443081,79;1849335846,61;1764000516;1728509892,14
Distrito Federal;2332889578,94;2104846585,64;2074559448;2065495896,17
Espírito Santo;1437048140,52;1294353132,66;1232280386;1231628208,71
Goiás;1877279335,62;1748117908,97;1639250653;1624952442,35
Maranhão;1367089361,54;1230363265,14;1155249806;1157820915,24
Mato Grosso;1168956745,87;1051572527,53;982325607,7;960919066,73
Mato Grosso do Sul;1211145283,44;1094327694,17;1065322698;1046656242,37
Minas Gerais;7933540931,58;7295610017,55;6951301466;6893803555,65
Pará;2246714643,93;2023754096,76;1913359859;1911495876,36
Paraíba;2238740499,36;2098766955,54;2055955874;2033040612,03
Paraná;2802243865,10;2602684481,83;2492836358;2475586823,37
Pernambuco;2499514825,57;2327388464,83;2245239855;2209101868,76
Piauí;1064374695,82;953042206,92;914158877,6;929639230,95
Rio de Janeiro;6818978773,37;6211807743,77;6069822248;6096497584,79
Rio Grande do Norte;2014439614,51;1865623946,25;1771948974;1750608703,49
Rio Grande do Sul;6455554814,87;5958137275,60;5685355046;5518464304,24
Rondônia;497789171,62;454338124,74;416831818,9;421486834,69
Roraima;343531276,88;314914372,45;289570982,4;281231443,99
Santa Catarina;2089482749,29;1977978434,53;1901073198;1871889915,03
São Paulo;2822517479,13;2646778306,36;2570917530;2519167768,37
Sergipe;924996229,40;845083970,21;815595865,5;795442904,93
Tocantins;647120056,77;603384436,84;561368232,5;549471261,76
