estado;pibpc;pibpc1000;ln_pibpc;ln_pibpc1000;etot;etot12;ln_etot;ln_etot12
AC;3,09;3090,00;1,13;8,04;6,27;75,24;1,84;4,32
AL;2,49;2490,00;0,91;7,82;4,15;49,80;1,42;3,91
AM;6,11;6110,00;1,81;8,72;6,20;74,40;1,82;4,31
AP;3,71;3710,00;1,31;8,22;6,28;75,36;1,84;4,32
BA;3,51;3510,00;1,26;8,16;3,97;47,64;1,38;3,86
CE;2,88;2880,00;1,06;7,97;4,03;48,36;1,39;3,88
DF;12,00;12000,00;2,48;9,39;8,11;97,32;2,09;4,58
ES;6,65;6650,00;1,89;8,80;5,61;67,32;1,72;4,21
GO;3,94;3940,00;1,37;8,28;5,38;64,56;1,68;4,17
MA;1,53;1530,00;0,43;7,33;3,63;43,56;1,29;3,77
MG;5,74;5740,00;1,75;8,66;5,34;64,08;1,68;4,16
MS;5,75;5750,00;1,75;8,66;5,65;67,80;1,73;4,22
MT;5,14;5140,00;1,64;8,54;5,31;63,72;1,67;4,15
PA;2,96;2960,00;1,09;7,99;5,48;65,76;1,70;4,19
PB;2,51;2510,00;0,92;7,83;4,88;58,56;1,59;4,07
PE;3,59;3590,00;1,28;8,19;4,70;56,40;1,55;4,03
PI;1,82;1820,00;0,60;7,51;3,66;43,92;1,30;3,78
PR;7,06;7060,00;1,95;8,86;5,74;68,88;1,75;4,23
RJ;8,70;8700,00;2,16;9,07;6,96;83,52;1,94;4,43
RN;3,02;3020,00;1,11;8,01;4,78;57,36;1,56;4,05
RO;4,00;4000,00;1,39;8,29;6,24;74,88;1,83;4,32
RR;2,80;2800,00;1,03;7,94;7,91;94,92;2,07;4,55
RS;8,09;8090,00;2,09;9,00;6,34;76,08;1,85;4,33
SC;7,31;7310,00;1,99;8,90;5,91;70,92;1,78;4,26
SE;3,35;3350,00;1,21;8,12;4,73;56,76;1,55;4,04
SP;10,08;10080,00;2,31;9,22;6,71;80,52;1,90;4,39
TO;2,00;2000,00;0,69;7,60;4,45;53,40;1,49;3,98
