state;pay94;pop;area;density;ins94;carsins;regist;rdmiles;bac;totdriv;fia
Alabama; 23.616,00 ; 4.040.587,00 ; 50.750,20 ; 79,60 ; 610,52 ; 2.106.768,00 ; 3.744.491,00 ; 90.672,00 ; 0,10 ; 2.752.590,00 ; 981,00 
Alaska; 32.657,00 ; 5.500.431,00 ; 570.373,63 ; 1,00 ; 877,56 ; 276.098,00 ; 477.326,00 ; 13.485,00 ; 0,10 ; 314.300,00 ; 90,00 
Arizona; 24.276,00 ; 3.665.228,00 ; 113.642,20 ; 32,30 ; 809,56 ; 2.152.042,00 ; 2.825.112,00 ; 51.612,00 ; 0,10 ; 2.392.618,00 ; 784,00 
Arkansas; 20.898,00 ; 2.350.725,00 ; 52.075,30 ; 45,10 ; 612,26 ; 1.568.280,00 ; 1.447.660,00 ; 77.085,00 ; 0,10 ; 1.722.021,00 ; 521,00 
California; 29.878,00 ; 29.760.020,00 ; 155.973,20 ; 190,80 ; 887,33 ; 14.040.333,00 ; 21.925.878,00 ; 163.574,00 ; 0,08 ; 19.845.906,00 ; 4.682,00 
Colorado; 26.164,00 ; 3.294.394,00 ; 103.728,80 ; 31,80 ; 823,36 ; 2.207.282,00 ; 3.155.371,00 ; 77.680,00 ; 0,10 ; 2.043.003,00 ; 492,00 
Connecticut; 33.811,00 ; 3.287.116,00 ; 4.845,40 ; 687,40 ; 934,38 ; 1.885.728,00 ; 2.622.966,00 ; 19.991,00 ; 0,10 ; 2.214.146,00 ; 357,00 
Delaware; 27.950,00 ; 666.168,00 ; 1.954,60 ; 340,80 ; 843,82 ; 440.087,00 ; 526.089,00 ; 5.444,00 ; 0,10 ; 484.801,00 ; 121,00 
Florida; 23.925,00 ; 12.937.926,00 ; 53.997,30 ; 239,60 ; 702,28 ; 7.099.644,00 ; 10.949.806,00 ; 108.085,00 ; 0,08 ; 9.231.405,00 ; 2.587,00 
Georgia; 25.306,00 ; 6.478.216,00 ; 57.918,70 ; 111,90 ; 696,83 ; 4.276.237,00 ; 5.489.144,00 ; 109.601,00 ; 0,10 ; 4.478.260,00 ; 1.410,00 
Hawaii; 26.746,00 ; 1.108.229,00 ; 6.423,40 ; 172,50 ; 1.090,32 ; 589.117,00 ; 771.478,00 ; 4.099,00 ; 0,10 ; 677.626,00 ; 155,00 
Idaho; 21.938,00 ; 1.006.749,00 ; 82.751,00 ; 12,20 ; 533,21 ; 747.409,00 ; 1.053.538,00 ; 62.435,00 ; 0,10 ; 704.184,00 ; 210,00 
Illinois; 29.105,00 ; 11.430.602,00 ; 55.593,30 ; 205,60 ; 654,47 ; 6.357.706,00 ; 7.873.189,00 ; 135.944,00 ; 0,10 ; 7.294.732,00 ; 1.430,00 
Indiana; 24.908,00 ; 5.544.159,00 ; 35.870,10 ; 154,60 ; 601,78 ; 3.435.336,00 ; 4.365.760,00 ; 91.908,00 ; 0,10 ; 3.601.354,00 ; 929,00 
Iowa; 22.187,00 ; 2.776.755,00 ; 55.874,90 ; 49,70 ; 484,89 ; 1.888.350,00 ; 2.631.973,00 ; 112.541,00 ; 0,10 ; 1.872.486,00 ; 404,00 
Kansas; 22.900,00 ; 2.477.574,00 ; 81.823,00 ; 30,30 ; 561,74 ; 1.822.059,00 ; 2.012.353,00 ; 133.578,00 ; 0,08 ; 1.714.507,00 ; 391,00 
Kentucky; 22.747,00 ; 3.685.296,00 ; 39.732,30 ; 92,80 ; 639,17 ; 2.280.052,00 ; 2.909.408,00 ; 69.668,00 ; 0,10 ; 2.401.661,00 ; 752,00 
Louisiana; 23.176,00 ; 2.419.973,00 ; 43.566,10 ; 96,90 ; 876,70 ; 1.853.795,00 ; 2.994.763,00 ; 58.620,00 ; 0,10 ; 2.575.460,00 ; 831,00 
Maine; 22.389,00 ; 1.227.928,00 ; 30.864,50 ; 39,80 ; 547,51 ; 805.457,00 ; 976.610,00 ; 22.389,00 ; 0,08 ; 887.042,00 ; 196,00 
Maryland; 28.421,00 ; 4.781.468,00 ; 9.774,60 ; 489,20 ; 766,13 ; 2.876.477,00 ; 3.606.520,00 ; 28.752,00 ; 0,10 ; 3.361.936,00 ; 639,00 
Massachusetts; 31.024,00 ; 6.016.425,00 ; 7.838,00 ; 767,60 ; 1.025,47 ; 2.806.522,00 ; 3.725.798,00 ; 34.076,00 ; 0,10 ; 4.229.311,00 ; 546,00 
Michigan; 29.541,00 ; 9.295.297,00 ; 56.809,20 ; 163,60 ; 797,44 ; 5.740.156,00 ; 7.209.217,00 ; 117.449,00 ; 0,10 ; 6.440.390,00 ; 1.399,00 
Minnesota; 26.425,00 ; 4.375.099,00 ; 79.616,50 ; 55,00 ; 680,23 ; 2.761.900,00 ; 3.507.937,00 ; 129.397,00 ; 0,10 ; 2.528.941,00 ; 501,00 
Mississippi; 20.382,00 ; 2.573.216,00 ; 46.913,70 ; 54,90 ; 659,47 ; 1.170.822,00 ; 1.875.445,00 ; 72.520,00 ; 0,08 ; 1.884.544,00 ; 626,00 
Missouri; 24.625,00 ; 5.117.073,00 ; 68.898,10 ; 74,30 ; 628,71 ; 3.185.409,00 ; 3.904.679,00 ; 120.527,00 ; 0,10 ; 3.688.081,00 ; 943,00 
Montana; 20.219,00 ; 799.065,00 ; 145.556,30 ; 5,50 ; 576,56 ; 552.407,00 ; 783.153,00 ; 71.387,00 ; 0,10 ; 603.614,00 ; 190,00 
Nebraska; 21.500,00 ; 1.578.385,00 ; 76.877,70 ; 20,50 ; 526,21 ; 1.271.786,00 ; 1.383.846,00 ; 92.403,00 ; 0,10 ; 1.088.677,00 ; 220,00 
Nevada; 25.700,00 ; 1.201.833,00 ; 109.805,50 ; 10,90 ; 881,52 ; 827.746,00 ; 853.444,00 ; 45.524,00 ; 0,10 ; 846.410,00 ; 300,00 
New Hampshire; 25.555,00 ; 1.109.252,00 ; 8.969,40 ; 123,70 ; 693,20 ; 696.054,00 ; 945.743,00 ; 14.836,00 ; 0,08 ; 843.470,00 ; 140,00 
New Jersey; 33.439,00 ; 7.730.188,00 ; 7.418,80 ; 1.042,00 ; 1.106,21 ; 4.026.078,00 ; 5.652.382,00 ; 34.252,00 ; 0,10 ; 5.584.727,00 ; 817,00 
New Mexico; 22.351,00 ; 1.515.069,00 ; 121.364,50 ; 12,50 ; 766,85 ; 898.175,00 ; 1.301.261,00 ; 54.736,00 ; 0,08 ; 1.073.816,00 ; 440,00 
New York; 33.438,00 ; 17.990.456,00 ; 47.223,80 ; 381,00 ; 1.029,09 ; 8.264.421,00 ; 10.196.153,00 ; 111.242,00 ; 0,10 ; 10.254.229,00 ; 2.032,00 
North Carolina; 23.449,00 ; 6.628.637,00 ; 48.718,10 ; 136,10 ; 547,08 ; 4.633.468,00 ; 5.162.005,00 ; 94.690,00 ; 0,08 ; 4.550.644,00 ; 1.250,00 
North Dakota; 19.893,00 ; 638.800,00 ; 68.994,30 ; 9,30 ; 467,15 ; 500.974,00 ; 629.839,00 ; 86.517,00 ; 0,10 ; 424.898,00 ; 104,00 
Ohio; 26.133,00 ; 10.847.115,00 ; 40.952,60 ; 264,90 ; 567,10 ; 6.289.835,00 ; 8.410.466,00 ; 113.600,00 ; 0,10 ; 7.427.409,00 ; 1.479,00 
Oklahoma; 22.292,00 ; 3.145.585,00 ; 68.678,50 ; 45,80 ; 628,00 ; 2.121.415,00 ; 2.649.051,00 ; 111.765,00 ; 0,10 ; 2.277.540,00 ; 557,00 
Oregon; 24.780,00 ; 2.842.321,00 ; 96.002,50 ; 29,60 ; 633,57 ; 1.942.425,00 ; 2.445.487,00 ; 94.969,00 ; 0,08 ; 2.211.550,00 ; 500,00 
Pennsylvania; 26.950,00 ; 11.881.643,00 ; 44.819,60 ; 265,10 ; 731,42 ; 6.893.826,00 ; 7.971.470,00 ; 116.508,00 ; 0,10 ; 7.899.052,00 ; 1.514,00 
RhodeIsland; 25.454,00 ; 1.003.464,00 ; 1.045,00 ; 960,30 ; 1.033,52 ; 486.674,00 ; 671.807,00 ; 6.111,00 ; 0,10 ; 670.651,00 ; 79,00 
South Carolina; 22.477,00 ; 3.486.703,00 ; 30.111,10 ; 115,80 ; 680,80 ; 2.183.052,00 ; 2.519.737,00 ; 64.046,00 ; 0,10 ; 2.372.825,00 ; 884,00 
South Dakota; 19.255,00 ; 696.004,00 ; 75.896,00 ; 9,20 ; 516,19 ; 514.073,00 ; 703.786,00 ; 74.696,00 ; 0,10 ; 492.378,00 ; 139,00 
Tennessee; 24.106,00 ; 4.877.185,00 ; 41.219,50 ; 118,30 ; 581,63 ; 2.771.546,00 ; 4.444.108,00 ; 84.639,00 ; 0,10 ; 3.334.425,00 ; 1.044,00 
Texas; 25.959,00 ; 16.986.510,00 ; 261.914,30 ; 64,90 ; 832,58 ; 7.841.169,00 ; 12.799.815,00 ; 305.951,00 ; 0,10 ; 11.136.694,00 ; 2.881,00 
Utah; 22.811,00 ; 1.722.850,00 ; 82.168,10 ; 21,00 ; 628,88 ; 1.031.120,00 ; 1.205.517,00 ; 43.244,00 ; 0,08 ; 1.046.106,00 ; 236,00 
Vermont; 22.964,00 ; 562.758,00 ; 9.249,30 ; 60,80 ; 582,57 ; 371.242,00 ; 461.796,00 ; 14.121,00 ; 0,08 ; 411.920,00 ; 82,00 
Virginia; 26.031,00 ; 6.187.358,00 ; 39.597,80 ; 156,30 ; 570,62 ; 4.124.029,00 ; 4.938.062,00 ; 67.700,00 ; 0,08 ; 4.388.805,00 ; 952,00 
Washington; 26.362,00 ; 4.866.692,00 ; 66.581,20 ; 73,10 ; 727,27 ; 3.294.367,00 ; 4.256.866,00 ; 81.299,00 ; 0,10 ; 3.376.671,00 ; 726,00 
West Virginia; 22.959,00 ; 1.793.477,00 ; 24.086,60 ; 74,50 ; 733,77 ; 1.091.275,00 ; 1.224.947,00 ; 34.592,00 ; 0,10 ; 1.283.703,00 ; 407,00 
Wisconsin; 24.324,00 ; 4.891.769,00 ; 54.313,70 ; 90,10 ; 555,20 ; 2.878.526,00 ; 3.671.859,00 ; 109.876,00 ; 0,10 ; 3.327.872,00 ; 678,00 
Wyoming; 22.054,00 ; 453.588,00 ; 97.104,60 ; 4,70 ; 549,72 ; 324.567,00 ; 528.421,00 ; 39.213,00 ; 0,10 ; 333.546,00 ; 105,00 
